# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.500000,0.295612,-0.000000,-0.000000,-0.625642,0.322977,0.259959,0.012048,-0.164711,0.035370,-0.000000,-0.000000,3.839021,-5.180248,-1.939294,1.651036,3.429150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.244618,-0.242262,-0.225846,0.340023,-0.241095,-0.101369,0.040693,0.119644,0.183467,0.367745,-0.637732,0.259144,1.033463,-0.355391,-0.625810,-0.462523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.092863,-0.344600,-0.087500,-0.032136,0.186955,0.057607,-0.051828,-0.106911,0.280393,0.162115,-0.033288,-1.138702,1.012222,0.538833,-0.177284,-0.628443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.093489,-0.366134,0.097988,0.122355,-0.075324,-0.032039,0.015551,0.042959,0.283213,-0.152681,-0.128087,0.414895,-0.805860,-0.159935,0.312680,0.513438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.241895,-0.216439,0.171258,0.024461,0.064568,0.006897,-0.029606,-0.043688,0.180246,-0.307721,-0.284373,0.308181,0.197408,-0.117670,-0.185725,-0.146166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.300795,-0.002725,0.256997,0.001259,-0.065292,-0.024489,0.017825,0.041694,-0.001568,-0.349836,0.056884,-0.375230,0.416997,0.254403,-0.056310,-0.271733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.241993,0.222819,0.174407,-0.054783,0.012441,-0.001421,-0.010524,-0.013835,-0.178160,-0.326654,0.206424,0.359580,-0.626932,-0.184353,0.242125,0.463218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.093369,0.358429,0.090174,-0.090027,-0.074717,-0.009228,0.038241,0.059039,-0.282475,-0.125558,0.105933,0.263435,0.222167,-0.199663,-0.276066,-0.195251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.093236,0.354468,-0.093881,-0.037780,0.030676,-0.007490,-0.037610,-0.049948,-0.284035,0.153522,0.197811,-0.908668,1.342865,0.706752,-0.438527,-1.227827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.242983,0.232735,-0.181938,-0.198441,-0.014443,0.147460,0.203220,0.192638,-0.181834,0.345606,0.515665,-0.238249,-2.973845,0.151164,2.288398,2.999083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
